enrollee_id,city_development_index,training_hours,target,company_size
8949,0.92,36,1.0,8
29725,0.7759999999999999,47,0.0,4
11561,0.624,83,0.0,8
33241,0.789,52,1.0,8
666,0.767,8,0.0,4
21651,0.764,24,1.0,8
28806,0.92,24,0.0,4
402,0.762,18,1.0,7
27107,0.92,46,1.0,4
699,0.92,123,0.0,3
29452,0.624,32,1.0,8
23853,0.92,108,0.0,6
25619,0.913,23,0.0,2
5826,0.624,24,0.0,8
8722,0.624,26,0.0,8
6588,0.926,18,0.0,0
4167,0.92,106,0.0,4
5764,0.624,7,0.0,6
2156,0.624,23,1.0,3
11399,0.8270000000000001,132,1.0,8
31972,0.843,68,0.0,1
19061,0.926,50,0.0,1
6491,0.804,48,0.0,8
7041,0.7759999999999999,65,0.0,2
22767,0.624,13,0.0,2
14505,0.855,22,0.0,8
17139,0.624,148,1.0,5
28476,0.92,72,0.0,8
21538,0.887,8,1.0,7
10408,0.624,68,1.0,4
14928,0.92,40,0.0,1
22293,0.92,141,0.0,6
4324,0.92,24,0.0,8
26966,0.92,82,0.0,1
26494,0.91,145,0.0,6
4866,0.92,206,0.0,0
12726,0.926,152,0.0,3
10164,0.926,42,1.0,1
8612,0.92,50,0.0,8
24659,0.884,106,0.0,8
2547,0.926,14,0.0,2
13854,0.924,36,0.0,0
31654,0.624,112,1.0,4
13643,0.6659999999999999,108,0.0,4
5590,0.624,7,1.0,6
22452,0.624,26,1.0,8
9006,0.624,87,1.0,1
25987,0.92,52,1.0,3
4476,0.5579999999999999,20,1.0,8
25103,0.923,21,0.0,0
5568,0.5579999999999999,92,1.0,8
2195,0.6659999999999999,102,0.0,1
30533,0.794,26,0.0,3
28512,0.924,7,0.0,7
1023,0.926,43,0.0,3
12253,0.924,45,0.0,1
25296,0.754,52,0.0,4
13238,0.92,19,0.0,8
13478,0.624,32,1.0,0
18578,0.767,26,1.0,1
29975,0.855,90,0.0,8
26516,0.939,25,0.0,1
24690,0.8270000000000001,15,0.0,7
8433,0.887,48,0.0,1
9572,0.55,98,0.0,8
5878,0.865,142,1.0,4
25695,0.855,13,0.0,3
9645,0.91,47,0.0,8
12730,0.91,28,0.0,5
4830,0.698,228,1.0,8
20970,0.6659999999999999,22,0.0,8
17271,0.624,18,1.0,8
12731,0.8270000000000001,29,0.0,0
10908,0.855,46,0.0,1
29117,0.55,12,0.0,8
3686,0.92,17,0.0,1
22683,0.893,65,0.0,4
22134,0.92,35,0.0,1
31765,0.855,14,0.0,3
31449,0.92,4,0.0,7
5987,0.92,12,0.0,4
21762,0.92,108,0.0,4
22070,0.92,136,0.0,8
25413,0.92,27,0.0,0
5902,0.7959999999999999,74,0.0,4
28403,0.884,86,0.0,0
30937,0.866,83,0.0,0
28751,0.92,75,0.0,8
29290,0.698,42,0.0,8
32401,0.92,332,0.0,1
19128,0.913,140,0.0,8
29036,0.91,182,0.0,8
16869,0.92,13,1.0,1
10497,0.682,172,1.0,0
18099,0.92,48,0.0,1
12081,0.802,33,0.0,4
7364,0.92,142,0.0,1
11184,0.579,34,0.0,1
7016,0.802,14,1.0,4
8695,0.55,27,1.0,0
6172,0.55,24,1.0,1
14672,0.878,150,0.0,8
18257,0.92,20,0.0,5
24493,0.92,140,0.0,5
1180,0.91,52,0.0,6
28627,0.939,160,0.0,4
8168,0.897,3,0.0,6
10473,0.624,2,1.0,7
25349,0.91,28,0.0,2
5220,0.754,46,0.0,8
4789,0.855,210,0.0,4
11338,0.926,36,0.0,7
27963,0.949,160,1.0,8
8571,0.624,101,0.0,0
16303,0.926,46,0.0,4
20576,0.925,19,0.0,2
32966,0.624,26,1.0,1
21199,0.698,90,0.0,7
18819,0.8959999999999999,59,0.0,7
14199,0.92,260,0.0,4
7666,0.624,74,0.0,4
13915,0.91,20,1.0,1
10555,0.878,8,0.0,1
16040,0.92,131,0.0,1
32826,0.836,45,0.0,8
13253,0.693,109,0.0,0
15637,0.855,70,0.0,1
28074,0.92,17,0.0,1
23012,0.92,51,0.0,4
16110,0.92,60,1.0,4
3921,0.893,4,0.0,2
24530,0.926,7,0.0,1
1924,0.804,164,0.0,1
32776,0.6659999999999999,290,0.0,8
1907,0.804,145,0.0,7
23947,0.92,70,0.0,8
3116,0.624,24,0.0,8
24829,0.92,133,1.0,3
30488,0.55,20,0.0,8
1265,0.92,76,0.0,7
22098,0.698,21,1.0,8
13342,0.624,34,0.0,6
24608,0.92,15,0.0,7
20081,0.866,156,0.0,8
24796,0.92,15,0.0,6
7777,0.926,120,0.0,8
22718,0.769,47,0.0,3
1261,0.754,100,1.0,8
3396,0.855,102,0.0,5
4283,0.92,52,0.0,8
18998,0.926,39,0.0,0
2003,0.92,112,1.0,8
31786,0.92,14,0.0,4
8241,0.91,4,0.0,8
12154,0.91,55,0.0,2
23455,0.624,49,1.0,3
19882,0.91,72,0.0,8
28817,0.925,141,1.0,6
4656,0.926,28,0.0,8
7280,0.92,6,0.0,3
16903,0.92,125,0.0,6
13333,0.939,326,0.0,8
26241,0.92,33,0.0,1
12381,0.804,40,0.0,3
4064,0.92,198,1.0,8
32092,0.92,55,0.0,3
3766,0.698,32,0.0,5
30496,0.92,11,0.0,1
7189,0.754,41,0.0,7
29497,0.92,87,1.0,3
31593,0.855,114,0.0,1
12384,0.698,33,0.0,8
11986,0.698,15,0.0,7
31033,0.91,8,0.0,8
14835,0.878,22,0.0,1
3728,0.92,13,0.0,6
3024,0.949,246,0.0,7
23508,0.92,22,0.0,0
29457,0.92,81,0.0,7
12297,0.7759999999999999,11,0.0,0
27708,0.698,24,1.0,6
3065,0.92,50,0.0,1
29226,0.924,15,0.0,8
5493,0.939,31,0.0,0
2891,0.926,84,0.0,4
32509,0.897,42,0.0,3
31841,0.624,105,1.0,0
907,0.92,72,0.0,4
29526,0.789,42,1.0,0
10956,0.698,152,0.0,4
26099,0.92,60,0.0,3
26163,0.624,8,0.0,8
4120,0.91,17,1.0,8
7335,0.923,33,0.0,8
706,0.91,38,0.0,1
9890,0.92,178,0.0,7
32683,0.92,11,0.0,4
27104,0.893,87,0.0,8
7731,0.802,84,0.0,8
31943,0.884,32,0.0,1
22899,0.887,31,1.0,1
33339,0.624,39,0.0,5
20866,0.775,12,0.0,0
21634,0.624,50,0.0,3
29529,0.903,55,1.0,1
4478,0.55,7,1.0,4
32095,0.92,104,0.0,4
18272,0.92,90,1.0,8
30098,0.92,8,0.0,1
23825,0.624,102,0.0,8
7672,0.624,202,1.0,0
5633,0.555,22,0.0,1
30695,0.624,42,0.0,8
5573,0.92,50,0.0,8
24936,0.624,88,0.0,4
397,0.754,81,0.0,2
31602,0.92,7,0.0,3
5278,0.624,218,0.0,8
16814,0.91,62,0.0,3
19249,0.92,83,0.0,4
9475,0.939,11,0.0,2
4865,0.926,10,0.0,4
20881,0.939,114,0.0,2
21563,0.624,36,0.0,4
25114,0.804,17,0.0,0
26002,0.91,80,1.0,8
8528,0.92,108,0.0,4
6141,0.92,45,0.0,1
27667,0.92,77,0.0,8
2821,0.926,8,0.0,1
21216,0.878,28,0.0,8
25495,0.727,37,0.0,1
